用户ID;消费金额;首页;商品分类;商品介绍;特卖页面;搜索功能;购物车;其他;合计
U00007239;2630;4;5;10;1;1;1;1;23
U00007244;1270;5;5;11;1;1;2;1;26
U00007248;1380;6;5;12;1;1;2;1;28
U00007295;5080;4;2;18;0;7;3;0;34
U00007545;2660;3;2;6;3;0;0;1;15
U00007593;4680;4;1;8;3;1;0;1;18
U00007727;990;8;8;17;2;1;3;1;40
U00007832;16260;7;2;33;2;11;6;1;62
U00008077;2990;9;0;30;1;8;6;0;54
U00008155;1680;6;2;7;2;1;1;1;20
U00008168;1710;4;2;5;3;0;0;0;14
U00008260;1600;5;5;10;1;2;2;0;25
U00008483;21450;5;0;26;1;9;6;1;48
U00008581;1010;24;13;92;5;6;6;1;147
U00008594;1410;6;1;20;1;6;4;0;38
U00008728;1140;7;6;12;1;1;3;0;30
U00008881;1170;11;5;12;6;0;1;0;35
U00009017;1430;6;4;16;1;1;1;1;30
U00009167;7940;11;10;61;2;2;3;0;89
U00009270;2100;8;0;31;0;11;6;3;59
U00009404;3110;5;0;15;0;5;3;0;28
U00009782;16420;5;3;9;2;0;0;0;19
U00009783;6650;5;2;20;1;6;4;1;39
U00010150;1100;7;6;15;5;1;0;0;34
U00010238;8490;6;4;12;1;2;3;0;28
U00010271;21840;4;1;5;2;0;0;0;12
U00010330;4430;5;1;20;1;6;4;1;38
U00010334;1530;5;2;10;3;0;0;0;20
U00010365;1010;8;8;18;2;2;4;0;42
U00010431;6400;9;9;17;2;2;2;1;42
U00010497;3470;3;4;6;0;1;1;0;15
U00010562;1140;7;3;37;0;1;3;1;52
U00010729;2750;6;2;26;0;8;5;1;48
U00011042;810;4;3;9;1;1;1;0;19
U00011063;2130;5;0;21;0;6;4;1;37
U00011130;3780;6;1;19;1;6;3;1;37
U00011207;1330;5;0;16;0;5;4;1;31
U00011280;16640;4;4;10;1;1;2;0;22
U00011406;20790;5;5;15;2;1;2;1;31
U00011447;2060;9;2;29;1;9;5;1;56
U00011491;1950;5;3;9;4;1;1;0;23
U00011671;1050;17;5;63;1;19;12;2;119
U00011677;1110;5;2;6;2;1;1;1;18
U00011777;18280;4;3;9;1;1;1;0;19
U00011823;6610;8;7;19;1;2;3;1;41
U00011832;4640;4;2;23;1;8;4;1;43
U00011939;1600;4;4;8;1;1;1;1;20
U00012155;3290;5;8;16;2;2;2;1;36
U00012272;910;4;2;4;2;0;1;0;13
U00012339;58680;6;5;12;1;0;1;1;26
U00012545;4340;6;9;20;1;2;3;1;42
U00012599;5060;8;7;42;0;0;4;0;61
U00012850;5710;3;0;6;1;1;0;0;11
U00012871;2030;8;6;40;0;2;2;1;59
U00013247;1220;12;8;63;2;3;4;0;92
U00013410;4680;3;3;7;0;0;1;0;14
U00013491;8080;6;1;18;0;6;4;1;36
U00013637;11800;4;0;17;1;5;3;1;31
U00013790;1890;4;9;12;2;1;2;0;30
U00013868;1090;4;2;8;2;0;0;0;16
U00013913;1810;11;7;76;1;2;5;0;102
U00013933;1780;7;3;30;1;2;0;1;44
U00014229;8710;7;6;14;1;1;2;0;31
U00014318;14500;14;3;54;0;3;4;1;79
U00014737;1790;5;5;11;2;1;1;0;25
U00014817;940;3;4;9;0;1;1;0;18
U00014950;3710;4;3;5;2;1;0;0;15
U00015194;4030;12;3;36;1;11;9;3;75
U00015252;5300;11;7;55;2;3;3;1;82
U00015294;1480;4;1;19;0;7;3;1;35
U00015403;19360;4;2;17;1;5;3;1;33
U00015420;1420;4;4;8;1;1;1;0;19
U00015698;4690;5;6;10;0;2;2;1;26
U00015720;1230;4;4;10;2;1;1;0;22
U00015883;4210;3;2;6;2;0;1;0;14
U00015907;2300;3;1;5;2;0;1;0;12
U00015935;2590;8;2;27;1;8;5;1;52
U00015952;5810;3;3;9;0;1;1;1;18
U00016141;2510;4;4;8;1;1;1;0;19
U00016338;1070;16;4;17;8;1;2;0;48
U00016470;1970;5;1;5;2;0;0;0;13
U00016477;1840;8;4;40;1;1;2;0;56
U00016616;6970;8;3;39;1;1;3;1;56
U00016692;1030;5;2;6;2;0;0;0;15
U00016900;10370;6;6;11;1;0;1;0;25
U00017098;1220;7;4;38;1;11;7;1;69
U00017148;4840;5;1;22;1;7;4;0;40
U00017233;1180;4;1;5;2;1;0;1;14
U00017307;2170;9;3;36;0;2;3;0;53
U00017308;1590;3;5;8;1;0;1;0;18
U00017368;4730;12;11;21;1;2;4;0;51
U00017393;1080;2;2;5;2;0;1;0;12
U00017416;2320;4;0;15;0;5;3;0;27
U00017562;5340;9;5;37;0;1;2;0;54
U00017734;0;3;4;3;1;0;0;0;11
U00017863;1210;4;2;5;2;0;0;0;13
U00017937;4680;8;0;27;2;7;6;2;52
U00017970;4090;6;8;19;2;1;2;0;38
U00018206;12510;5;3;8;3;0;0;0;19
U00018295;18040;5;5;12;1;1;2;1;27
U00018342;4040;11;7;62;1;1;5;1;88
U00018377;2820;4;3;8;1;1;1;0;18
U00018500;34440;4;0;20;1;6;4;0;35
U00018507;7170;4;6;14;1;1;2;0;28
U00018550;1820;6;2;10;4;0;0;0;22
U00018662;2160;8;10;16;2;1;2;1;40
U00019052;4040;9;0;33;0;7;7;3;59
U00019075;1330;14;4;46;0;16;10;2;92
U00019215;41120;4;0;17;1;6;3;1;32
U00019473;1240;3;1;5;2;0;0;0;11
U00019502;1390;4;3;10;1;1;1;1;21
U00019571;5010;5;0;16;1;5;3;1;31
U00019605;3380;8;5;35;1;1;2;0;52
U00019758;1260;8;3;9;4;0;0;0;24
U00019843;1140;4;2;9;1;0;1;0;17
U00019865;1230;9;9;23;1;1;4;0;47
U00019942;1460;5;5;10;1;0;1;0;22
U00019950;5400;17;1;57;0;17;10;1;103
U00020079;18630;6;0;19;0;6;4;1;36
U00020149;28120;5;4;6;3;0;1;0;19
U00020182;1280;3;4;8;1;1;1;0;18
U00020203;1300;5;3;8;3;2;0;0;21
U00020315;4200;5;5;11;1;1;1;0;24
U00020352;1640;4;3;7;1;1;1;1;18
U00020418;11820;5;5;15;1;1;2;1;30
U00020429;1170;7;0;25;0;8;4;1;45
U00020436;7220;5;4;12;1;1;1;0;24
U00020570;13560;18;10;64;1;3;7;2;105
U00020574;800;3;2;7;0;1;1;1;15
U00020605;2370;6;1;21;1;7;5;0;41
U00020688;1200;8;0;28;0;8;4;0;48
U00020690;1510;8;6;16;1;1;3;0;35
U00020806;1110;11;9;45;1;1;3;2;72
U00021136;8260;4;2;11;4;0;1;0;22
U00021368;3260;5;0;17;0;5;3;1;31
U00021392;1370;6;8;17;2;1;2;0;36
U00021429;1650;6;6;10;0;1;2;0;25
U00021478;4500;3;3;6;2;0;0;0;14
U00021690;1210;6;2;7;3;1;0;0;19
U00021851;1080;6;3;9;4;0;0;0;22
U00021869;1260;3;1;5;1;1;0;0;11
U00021910;2680;7;2;8;3;1;1;1;23
U00022039;1800;7;5;11;3;2;0;0;28
U00022367;4170;2;2;6;2;0;0;1;13
U00022415;27510;13;10;60;0;4;5;0;92
U00022456;2620;13;8;66;1;1;4;1;94
U00022563;7750;11;7;49;1;1;4;2;75
U00022634;13040;6;6;13;1;1;1;1;29
U00022700;3540;15;7;65;4;5;4;0;100
U00022705;4340;4;5;9;1;1;1;1;22
U00023037;1930;19;7;70;1;4;6;1;108
U00023279;1110;8;2;34;1;11;6;1;63
U00023303;5550;4;1;9;3;1;0;0;18
U00023448;4010;5;3;9;1;1;1;0;20
U00023649;970;3;2;5;1;0;0;0;11
U00023764;3520;7;10;17;1;0;1;0;36
U00024039;6430;12;1;58;4;18;11;3;107
U00024429;800;4;3;6;2;1;0;0;16
U00024567;960;4;4;7;1;1;1;0;18
U00024741;2500;6;0;23;1;6;4;1;41
U00024792;1360;3;3;8;1;0;1;1;17
U00024806;13780;4;2;5;2;0;0;0;13
U00025089;2300;5;5;15;1;1;2;0;29
U00025152;53120;8;2;26;1;8;5;1;51
U00025190;11440;4;5;8;1;0;2;0;20
U00025256;62530;7;2;39;2;11;8;2;71
U00025360;2270;4;1;18;0;6;3;1;33
U00025381;12340;5;6;14;2;1;3;0;31
U00025740;2130;5;6;12;1;1;1;1;27
U00025809;2920;8;0;23;0;7;4;1;43
U00025856;1060;7;1;24;1;7;4;1;45
U00026001;1600;8;8;17;2;1;2;0;38
U00026079;1910;6;2;7;4;1;0;1;21
U00026089;8470;6;2;8;3;0;1;1;21
U00026169;1850;20;8;75;1;2;3;3;112
U00026262;1650;4;1;6;2;1;0;0;14
U00026459;1150;7;6;30;1;1;2;1;48
U00026776;1040;4;3;6;2;1;1;1;18
U00026950;6400;11;6;43;1;1;2;1;65
U00027008;2250;3;3;7;0;1;1;0;15
U00027221;6660;6;5;11;1;1;1;0;25
U00027343;7370;7;7;36;1;1;3;0;55
U00027356;1020;10;8;16;1;2;3;0;40
U00027479;4380;10;0;37;1;10;7;1;66
U00027613;970;15;14;76;2;1;5;2;115
U00027977;890;10;4;14;5;1;1;2;37
U00028022;3060;3;4;8;2;1;2;0;20
U00028035;1140;7;5;14;1;1;1;1;30
U00028072;1190;4;3;9;1;1;1;1;20
U00028189;20270;17;10;69;2;3;2;4;107
U00028255;19980;13;7;62;1;2;4;0;89
U00028294;3240;9;1;33;1;11;6;2;63
U00028445;2760;7;6;14;1;0;3;0;31
U00028661;1270;3;4;8;1;1;2;0;19
U00028700;11300;5;4;10;0;1;2;0;22
U00028705;7300;6;4;12;1;1;2;0;26
U00028708;9630;5;7;13;1;1;1;0;28
U00028796;1070;3;2;5;2;1;0;0;13
U00028897;1050;7;7;14;2;1;2;1;34
U00028956;2150;4;4;9;2;1;1;0;21
U00029009;4800;3;2;5;2;0;0;0;12
U00029061;13090;7;0;21;0;7;4;1;40
U00029190;1130;3;2;8;4;1;0;0;18
U00029245;2630;5;0;20;0;7;5;1;38
U00029252;17690;23;12;94;2;1;7;3;142
U00029305;2400;10;5;37;1;1;4;0;58
U00029377;1450;4;1;7;3;0;1;0;16
U00029385;1130;4;5;11;1;1;1;1;24
U00029413;1110;9;8;16;1;2;3;0;39
U00029529;1900;5;4;11;0;0;2;0;22
U00029627;1160;5;1;7;2;1;0;0;16
U00029670;1350;8;0;32;1;11;5;1;58
U00029881;1640;4;4;12;0;1;1;0;22
U00029910;6850;4;3;8;1;1;2;0;19
U00030061;14380;6;1;21;0;7;4;1;40
U00030165;43230;22;17;94;0;4;4;0;141
U00030237;1800;3;3;7;1;0;1;0;15
U00030267;6450;7;3;17;0;6;4;2;39
U00030352;1570;6;3;10;4;1;1;0;25
U00030531;10870;3;1;17;0;5;4;1;31
U00030538;2360;10;7;39;1;2;2;0;61
U00030660;3020;6;6;11;1;1;2;0;27
U00030669;4430;6;1;28;1;8;5;2;51
U00030677;1030;5;6;12;1;1;2;1;28
U00030791;3100;9;7;17;2;2;3;1;41
U00031004;3480;5;0;21;0;7;4;1;38
U00031282;11110;6;1;23;0;8;3;2;43
U00031331;1210;7;0;27;0;9;5;0;48
U00031415;1220;3;3;7;0;0;1;1;15
U00031487;1250;6;0;20;1;7;3;1;38
U00031958;3160;4;5;15;2;0;2;1;29
U00032157;7330;10;1;37;1;11;8;2;70
U00032164;1240;4;4;10;1;1;1;1;22
U00032346;1080;8;4;9;3;0;0;1;25
U00032354;1110;4;3;7;1;0;1;0;16
U00032411;3680;4;3;8;1;1;1;0;18
U00032444;4140;15;0;41;2;12;9;0;79
U00032589;2920;8;2;43;1;12;8;1;75
U00032610;2980;10;6;36;0;2;4;1;59
U00032778;9500;5;6;13;1;1;2;0;28
U00032952;15640;7;4;32;1;11;6;2;63
U00032993;1110;4;6;11;1;1;2;0;25
U00033089;4030;12;6;48;1;2;2;0;71
U00033285;2320;5;2;6;2;0;0;0;15
U00033404;1600;5;0;7;4;1;0;0;17
U00033516;19970;6;8;16;1;1;2;0;34
U00033522;950;5;3;8;0;1;1;0;18
U00033565;1310;5;5;14;1;1;3;0;29
U00033588;1760;4;2;8;1;1;1;0;17
U00033718;1360;28;12;113;3;2;8;3;169
U00033851;1790;5;4;10;1;1;1;0;22
U00033944;1540;3;1;5;2;1;1;0;13
U00033969;6500;7;1;27;2;7;7;1;52
U00034002;17810;10;1;35;1;11;6;1;65
U00034082;1290;5;2;7;3;0;0;0;17
U00034189;7200;5;2;36;1;11;8;1;64
U00034197;24650;4;2;17;1;5;3;2;34
U00034310;1230;4;4;10;0;0;1;0;19
U00034316;1740;12;3;49;0;13;8;3;88
U00034480;1510;8;5;14;2;1;2;0;32
U00034680;4560;3;2;7;2;0;1;0;15
U00034800;1440;4;4;11;0;0;1;1;21
U00034846;3320;5;3;8;3;0;1;0;20
U00035074;2710;8;5;16;2;1;2;0;34
U00035197;1120;10;7;18;1;1;2;0;39
U00035316;1630;4;5;12;0;1;2;1;25
U00035380;1540;3;4;8;1;0;1;1;18
U00035455;1450;4;2;7;3;1;1;0;18
U00035562;3840;8;0;32;1;10;5;1;57
U00035611;3860;4;1;5;3;1;0;1;15
U00035623;1350;10;1;27;0;8;5;1;52
U00035938;1960;5;4;8;4;1;1;1;24
U00035979;18330;4;1;22;0;6;5;1;39
U00036078;1070;6;6;16;1;3;3;1;36
U00036104;950;3;3;8;1;1;1;0;17
U00036119;4110;7;1;9;4;1;1;2;25
U00036199;3170;7;1;34;1;10;8;2;63
U00036209;1220;4;1;6;2;0;0;1;14
U00036519;4010;9;2;13;3;0;1;0;28
U00036603;2890;5;4;5;3;0;1;0;18
U00036706;4230;8;5;16;2;1;2;1;35
U00036720;2010;6;2;28;1;9;5;0;51
U00036722;2250;4;2;8;3;0;1;0;18
U00036765;1050;7;7;16;1;1;2;0;34
U00036908;17170;8;3;9;4;0;0;0;24
U00037054;4830;9;1;32;0;11;5;2;60
U00037204;5740;4;3;11;1;1;1;0;21
U00037245;1450;7;5;16;2;2;3;1;36
U00037297;8360;6;7;13;0;1;1;0;28
U00037331;5090;14;5;54;1;0;4;1;79
U00037362;1400;8;0;12;3;1;2;0;26
U00037512;2100;4;1;5;3;0;0;1;14
U00037660;4520;8;7;17;4;2;2;1;41
U00037706;12430;8;2;30;0;10;7;1;58
U00037980;7810;9;0;43;1;13;9;0;75
U00038029;34700;7;6;10;0;2;2;0;27
U00038225;3490;6;7;16;1;1;2;0;33
U00038251;48620;7;4;34;0;0;3;0;48
U00038319;1140;26;10;90;3;2;6;1;138
U00038350;1450;4;4;8;1;0;1;0;18
U00038575;22540;12;6;58;0;3;4;3;86
U00038626;1100;5;4;11;1;1;2;0;24
U00038635;9880;12;6;49;2;1;4;1;75
U00038659;1050;3;5;8;1;0;2;1;20
U00038701;3470;4;4;11;1;0;2;0;22
U00038716;1260;8;6;18;2;1;1;0;36
U00038784;2340;5;5;33;1;1;3;1;49
U00039036;4770;4;4;8;0;1;1;0;18
U00039037;3250;5;6;11;1;0;1;1;25
U00039326;9380;7;3;11;4;1;0;0;26
U00039441;3550;5;6;10;1;1;3;0;26
U00039567;2850;9;0;29;1;8;6;2;55
U00039732;2210;8;5;13;1;1;3;0;31
U00039780;6820;7;0;39;1;12;7;2;68
U00039867;4780;5;4;9;1;1;1;0;21
U00040157;24400;7;1;27;0;9;6;2;52
U00040170;3010;4;4;9;1;1;2;0;21
U00040238;1090;7;10;18;1;1;2;1;40
U00040258;2280;5;5;9;0;0;2;0;21
U00040399;15450;12;9;55;0;2;4;1;83
U00040404;1010;9;11;18;1;2;3;0;44
U00040512;1830;7;8;15;1;2;2;1;36
U00040654;1880;3;3;7;0;1;1;0;15
U00040697;2320;8;7;13;1;1;2;0;32
U00040728;12430;6;6;13;1;1;3;0;30
U00040815;3460;4;2;8;0;1;2;0;17
U00040884;51000;14;8;58;1;3;3;1;88
U00040990;1430;2;1;6;3;0;0;1;13
U00041125;1960;10;2;36;1;10;6;1;66
U00041258;2270;5;0;22;1;6;4;0;38
U00041368;2610;6;7;11;2;1;2;0;29
U00041377;28190;6;2;23;1;7;3;2;44
U00041441;8760;9;10;26;3;3;5;1;57
U00041489;6800;5;4;11;1;1;1;0;23
U00041586;2490;2;2;6;3;0;0;0;13
U00041670;1090;3;3;8;1;1;0;0;16
U00041890;1340;6;2;23;0;7;4;1;43
U00041920;1910;11;9;54;0;1;4;1;80
U00041954;8650;5;6;14;0;1;3;0;29
U00042036;15250;13;10;60;0;2;4;0;89
U00042173;6930;4;0;21;1;6;5;2;39
U00042222;1190;3;5;9;1;2;1;0;21
U00042308;10590;6;0;22;1;7;4;0;40
U00042388;2070;4;2;7;2;1;0;1;17
U00042431;2890;3;3;8;1;1;1;0;17
U00042458;2580;4;5;9;1;0;1;0;20
U00042515;1970;4;4;12;1;1;1;0;23
U00042521;35670;5;0;21;0;5;4;0;35
U00042622;980;3;1;4;2;0;0;1;11
U00042635;20300;4;4;12;1;1;2;0;24
U00042776;2150;6;7;16;1;1;2;1;34
U00042804;1860;5;6;13;1;1;2;0;28
U00042823;12980;3;1;5;2;1;0;0;12
U00042996;6970;4;2;4;2;0;0;0;12
U00043097;1190;3;2;4;2;1;0;0;12
U00043286;4300;8;5;38;0;2;2;1;56
U00043349;950;6;4;8;3;1;1;0;23
U00043388;1060;6;0;26;0;9;5;1;47
U00043413;1230;4;1;5;2;1;1;0;14
U00043426;11610;4;5;9;1;0;1;1;21
U00043659;3560;5;3;30;0;9;5;0;52
U00043714;1340;5;6;12;1;1;2;0;27
U00043786;5200;11;0;38;0;13;9;2;73
U00043787;1490;4;3;7;1;0;1;0;16
U00043800;3600;3;3;7;1;1;1;0;16
U00043859;1130;4;3;4;2;0;0;0;13
U00044045;1230;5;1;29;1;10;7;1;54
U00044129;970;5;2;5;2;1;0;0;15
U00044247;11940;9;7;17;1;2;2;2;40
U00044259;3850;5;1;10;3;0;0;1;20
U00044262;16870;3;5;10;1;1;2;1;23
U00044310;1000;13;7;57;1;2;3;1;84
U00044579;1030;11;1;14;4;1;0;0;31
U00044760;1570;8;0;49;1;15;8;2;83
U00044847;3190;7;1;19;0;7;4;1;39
U00044879;1500;6;2;9;4;0;0;0;21
U00044896;1250;5;3;10;3;0;0;1;22
U00045204;2820;8;4;10;3;0;0;1;26
U00045258;2840;3;2;6;2;0;1;0;14
U00045263;2100;4;8;19;2;1;2;0;36
U00045406;27870;3;5;8;1;1;1;0;19
U00045419;1860;8;9;16;2;1;2;1;39
U00045643;26290;9;8;17;3;1;3;2;43
U00045753;3840;6;6;18;2;1;2;0;35
U00045861;1130;5;1;8;2;1;1;0;18
U00045896;4170;3;2;4;2;0;0;0;11
U00045931;91440;5;7;13;2;1;3;1;32
U00046048;9260;12;2;40;2;14;6;2;78
U00046074;4790;20;8;75;2;3;4;2;114
U00046102;2920;4;2;8;3;0;1;0;18
U00046113;20920;6;4;11;1;1;1;0;24
U00046289;5570;6;0;20;0;7;5;1;39
U00046567;1870;13;11;53;2;2;3;1;85
U00046822;1130;3;2;5;2;1;1;1;15
U00046964;5060;8;2;29;0;10;7;1;57
U00046974;1600;3;2;4;1;1;0;0;11
U00047010;960;2;2;5;2;0;0;0;11
U00047220;37920;4;4;8;1;1;1;0;19
U00047238;26190;5;2;17;1;6;3;2;36
U00047260;18200;5;1;36;2;11;7;1;63
U00047333;7320;6;8;16;1;1;2;1;35
U00047506;1440;5;7;15;1;2;2;1;33
U00047535;14000;4;3;6;1;1;1;0;16
U00047749;4530;5;0;18;1;5;3;0;32
U00047795;1930;8;2;35;1;10;6;1;63
U00047820;1650;9;7;36;0;12;8;2;74
U00047906;1720;6;5;7;3;1;0;1;23
U00047960;1450;6;3;10;1;1;2;0;23
U00048084;1540;7;5;35;1;2;3;0;53
U00048237;910;13;10;53;1;2;4;2;85
U00048271;1070;6;4;9;4;0;1;0;24
U00048359;5880;14;4;46;2;15;10;0;91
U00048455;4580;3;1;5;2;0;0;0;11
U00048460;1890;4;5;10;1;1;2;1;24
U00048546;8090;4;3;8;0;1;2;0;18
U00048556;1950;7;9;16;3;2;2;0;39
U00048675;1420;3;1;5;2;0;0;0;11
U00048705;1720;5;5;10;1;0;2;0;23
U00048847;1440;8;3;22;0;7;4;2;46
U00048896;1060;5;3;8;3;1;0;1;21
U00048932;1430;4;5;9;0;1;1;0;20
U00048953;5900;10;0;31;1;8;6;1;57
U00049098;1330;4;7;15;1;1;2;1;31
U00049136;1320;4;3;9;1;1;2;0;20
U00049297;1270;6;5;13;1;2;1;1;29
U00049326;5880;9;1;31;2;10;7;2;62
U00049485;10320;9;2;12;4;0;0;1;28
U00049694;1220;4;2;4;2;1;0;0;13
U00049805;1250;9;0;38;1;11;6;2;67
U00050019;21820;5;4;8;1;1;1;0;20
U00050032;4820;3;4;8;1;1;2;1;20
U00050196;1680;7;1;30;0;10;5;1;54
U00050270;1650;3;3;8;1;1;1;0;17
U00050598;12530;8;7;15;1;2;2;0;35
U00050696;3020;6;3;8;3;1;1;0;22
U00050762;27870;10;0;40;0;12;8;2;72
U00050807;1770;3;2;6;2;1;0;0;14
U00050904;3680;4;2;6;2;0;0;0;14
U00050929;1240;6;0;29;1;9;5;1;51
U00050955;4810;11;11;21;3;2;1;0;49
U00050998;1050;6;6;12;1;1;2;0;28
U00051031;2080;13;11;23;4;1;3;0;55
U00051036;960;10;5;14;7;1;2;1;40
U00051068;2140;10;4;51;0;1;3;2;71
U00051157;2080;6;1;21;1;6;4;0;39
U00051193;12520;7;8;14;0;1;2;0;32
U00051285;7870;12;6;53;1;2;3;0;77
U00051294;31800;3;0;27;2;9;5;1;47
U00051366;1840;3;3;6;1;1;1;0;15
U00051379;2370;11;0;33;0;10;7;1;62
U00051551;1290;3;4;7;0;1;1;0;16
U00051635;12110;10;0;30;2;9;5;0;56
U00051653;1360;4;0;21;0;7;4;1;37
U00051679;1100;5;5;12;1;2;1;0;26
U00051854;1660;12;10;51;3;3;4;1;84
U00051908;8050;4;4;8;3;0;1;0;20
U00051916;19610;6;5;12;1;1;2;1;28
U00051949;12530;5;4;10;1;1;2;0;23
U00051969;18920;5;8;12;1;0;1;0;27
U00052062;1180;6;5;14;1;1;2;0;29
U00052228;4550;5;0;18;1;5;3;0;32
U00052235;4910;7;10;21;2;1;3;0;44
U00052324;2280;3;3;8;2;0;0;0;16
U00052330;1010;6;8;16;1;2;3;0;36
U00052343;5860;8;7;15;2;3;3;0;38
U00052389;1090;4;6;13;1;2;3;0;29
U00052493;1280;9;5;39;0;1;2;0;56
U00052727;1630;6;1;9;3;0;0;0;19
U00052775;3500;3;2;26;0;9;4;0;44
U00052795;1110;6;4;38;0;10;7;1;66
U00052803;4390;4;1;8;2;0;1;0;16
U00052809;6520;5;4;9;4;0;0;0;22
U00052934;880;3;2;5;2;0;0;0;12
U00052951;4080;3;4;9;1;0;1;0;18
U00053000;3230;4;2;9;3;1;1;0;20
U00053071;3490;3;2;5;2;0;0;1;13
U00053144;1100;3;3;6;3;0;1;0;16
U00053254;4360;5;4;14;1;1;1;0;26
U00053396;990;10;5;35;3;11;6;3;73
U00053473;1220;6;3;10;3;0;1;0;23
U00053814;4090;7;6;14;3;1;2;2;35
U00053895;2260;10;9;15;1;2;2;0;39
U00053971;9610;9;1;31;2;10;6;0;59
U00054018;1290;4;2;5;2;0;1;0;14
U00054097;3020;5;5;8;2;0;1;1;22
U00054202;11750;14;11;67;0;2;4;0;98
U00054387;1450;7;5;30;0;1;3;1;47
U00054448;22550;3;1;16;0;5;3;1;29
U00054551;1030;9;1;27;0;9;6;1;53
U00054584;1870;8;7;17;1;1;3;1;38
U00054695;1760;4;2;7;2;0;0;0;15
U00054715;1350;9;7;15;4;1;2;0;38
U00054935;1180;8;5;14;5;2;1;0;35
U00054941;1810;10;14;25;1;1;4;1;56
U00054970;3410;13;10;61;2;4;5;2;97
U00054982;7690;10;4;32;0;11;7;2;66
U00055004;8830;3;6;12;1;1;2;0;25
U00055058;1770;4;4;9;0;1;1;0;19
U00055091;3590;3;4;8;0;1;1;0;17
U00055094;86210;12;3;52;1;17;10;2;97
U00055204;1550;5;4;6;3;1;1;1;21
U00055394;1530;8;3;28;1;8;4;1;53
U00055425;1520;4;4;7;0;1;1;0;17
U00055611;3550;8;2;27;0;9;5;1;52
U00055638;10090;4;3;9;1;1;1;0;19
U00055641;4020;7;7;13;1;1;2;0;31
U00055789;8720;6;0;51;1;14;9;3;84
U00055993;1060;3;2;4;2;0;0;0;11
U00056034;4300;4;7;13;1;1;2;0;28
U00056103;7840;3;3;8;1;1;1;0;17
U00056129;4330;4;2;4;1;1;0;0;12
U00056182;2170;5;3;7;3;0;1;0;19
U00056198;39200;7;6;33;0;10;5;2;63
U00056229;4340;8;8;18;3;2;3;1;43
U00056278;3650;4;0;17;0;6;4;1;32
U00056310;16520;13;7;51;2;3;2;0;78
